"","x"
"733",0.985717021664417
"734",0.00124023338677372
"735",0.00153871781926962
"736",0.00164004072554962
"737",0.0424530515398086
"738",0.00887114020245758
"739",0.00067164563858802
"740",0.00139889973412189
"741",0.0139600342239259
"742",0.977910499381748
"743",0.0422348959819844
"744",0.0493734025555531
"745",0.00123574790062333
"746",0.00343143870831537
"747",0.00942409813365551
"748",0.00162082058626177
"749",0.0033166034459138
"750",0.00138335907033245
"751",0.00260016573306252
"752",0.00307233553129665
"753",0.146671660843291
"754",0.0928919303909728
"755",0.0023226218539625
"756",0.00086344843182687
"757",0.00318227018162619
"758",0.0007406529077884
"759",0.00311544114479137
"760",0.000917533077245017
"761",0.00074121153512035
"762",0.00265692187900094
"763",0.00187215799451778
"764",0.0468810227055137
"765",0.00984888149268235
"766",0.0894200510992276
"767",0.118930385786085
"768",0.0163454198062788
"769",0.00163678166338281
"770",0.0856162515689863
"771",0.985990886758015
"772",0.985948083755019
"773",0.27960008655954
"774",0.105442348822818
"775",0.0559473059512081
"776",0.000239883576426692
"777",0.00170679465785899
"778",0.000131513167733339
"779",0.000132381763472824
"780",0.00699217752778141
"781",0.000441380411999138
"782",0.000620329129697325
"783",0.000106113411245084
"784",0.0016424598159378
"785",5.13722627467403e-05
"786",0.000428105666791914
"787",0.000417437134573818
"788",0.000601681061347227
"789",0.0412556501794616
"790",0.0125714136988705
"791",0.00114950747870729
"792",0.000571916444637365
"793",0.00721031010610884
"794",0.000512138931952546
"795",0.0120534966840506
"796",0.00152259502913643
"797",0.000782954624385226
"798",0.0065926741049884
"799",0.0115250547906872
"800",0.0129114224342042
"801",0.00365686700081435
"802",0.00105152219550559
"803",0.000535297523607603
"804",0.000179466161888838
"805",0.000160542310689644
"806",0.000147766077747365
"807",0.000496801080680748
"808",0.000394896869013273
"809",0.0254413876208358
"810",0.000397282034228596
"811",0.000781472917081705
"812",0.00404360472439934
"813",6.68381912176043e-05
"814",0.157117385349004
"815",0.000400208786234793
"816",0.00948121161479987
"817",0.000137643883797338
"818",0.000423384616247667
"819",0.00044392558932334
"820",4.3044239387475e-05
"821",5.73335839494699e-05
"822",5.8505525053441e-05
"823",0.00381877783774346
"824",0.000138424606303853
"825",0.00170469409598882
"826",0.000315900968596212
"827",0.00327974657340029
"828",0.000197887752410063
"829",8.12753081476034e-05
"830",0.000123716481406777
"831",0.000449623334400927
"832",0.000632448066987106
"833",0.00451673552660987
"834",0.500000000001474
"835",0.0131320671971831
"836",0.499999984731113
"837",0.985494815872364
"838",0.500000040097874
"839",0.000556162563152426
"840",0.00655812496065121
"841",0.00197983389242253
"842",0.00627363504284709
"843",0.00325863556014888
"844",0.000230268446064095
"845",1.1855061499874e-05
"846",6.92807381080658e-05
"847",0.000397642224681019
"848",0.00376400361607068
"849",2.7463687879766e-05
"850",0.00249591578867463
"851",0.000269738841953176
"852",0.00123376695626136
"853",0.000636094012877001
"854",0.000273192361454061
"855",5.26944941888376e-05
"856",0.000246867080107212
"857",0.000143382829455599
"858",0.00159024678470465
"859",0.00224334816320718
"860",0.00879968973372926
"861",2.07857913457837e-05
"862",0.00103712852679743
"863",0.00387479333117235
"864",0.0034174402148699
"865",1.74634943090145e-05
"866",0.000120326772112259
"867",8.43701478553282e-05
"868",0.000886667434101536
"869",0.180286471837036
"870",0.246892002058423
"871",0.985827961893005
"872",0.0148391989537734
"873",0.499999991667576
"874",0.50000006108103
"875",0.981337120943507
"876",0.499999999997727
"877",0.499999943136996
"878",0.500000000001082
"879",0.499999999997727
"880",0.500000008335434
"881",0.499999991666228
"882",0.49999991007907
"883",0.937874143813421
"884",0.0221771803767167
"885",0.0221771934019865
"886",0.500000040097874
"887",0.499999984731113
"888",0.499999984731113
"889",0.0326951781107014
"890",0.0205196724234545
"891",0.000554837435306197
"892",0.0322290508079138
"893",0.970732298966075
"894",0.0029413138250554
"895",0.0317422474264766
"896",0.00459241465480433
"897",0.0766275402896078
"898",0.00115601582882192
"899",0.0194408732930545
"900",0.0539205826080889
"901",0.0200999162896958
"902",0.00183734978469335
"903",0.00055931370832321
"904",0.0330370761452003
"905",0.987211964516713
"906",0.0216371301526219
"907",0.00451916784655309
"908",0.0343839551517851
"909",0.0592293698834874
"910",0.0846966341831829
"911",0.0134424261073461
"912",0.0218097689706589
"913",0.383522102620876
"914",0.00349193945577196
"915",0.000380218726848591
"916",0.000734598923753775
"917",0.00171839894182653
"918",0.000280118642344315
"919",0.0794187935218906
"920",0.0794188058663703
"921",0.00050656542103341
"922",0.499999965255526
"923",0.499999984731113
"924",0.985046839091073
"925",0.00226329035037578
"926",0.222160723941679
"927",0.0143355560337965
"928",0.000124780502162263
"929",0.00474947285350546
"930",0.00178596809449091
"931",0.000133805241725399
"932",0.00142828927054345
"933",0.000335969933158171
"934",0.0005159167016474
"935",0.000600469353943148
"936",0.000169947725808198
"937",0.00872760556954134
"938",0.0837705925159343
"939",0.0272725568068941
"940",0.00185978080818312
"941",0.0190149904727682
"942",0.499999943136996
"943",0.00075297956028468
"944",0.00075297956028468
"945",0.00114257582020751
"946",0.237082650580653
"947",0.225792324467243
"948",0.00836659449088573
"949",0.500000040097874
"950",0.0354298198085664
"951",0.046865733667307
"952",0.0667772541026511
"953",0.000332687770246122
"954",0.00550985175576955
"955",0.000358067785784967
"956",0.000445476110934989
"957",0.0013910479105992
"958",0.000877311498941314
"959",0.00917764041240758
"960",0.00917764640316724
"961",0.000375809433246087
"962",7.30275141540701e-05
"963",0.000310675592009696
"964",0.000271268192506474
"965",0.000390916443317771
"966",0.00157123816851867
"967",0.000428464276738228
"968",0.00689918204561018
"969",8.18628149568361e-05
"970",0.00394025630015539
"971",0.000799347281530367
"972",0.000132174780524274
"973",0.000786683638245564
"974",0.00081814442937949
"975",0.00391999333461455
"976",0.000215838936213901
"977",0.000534904922140464
"978",0.000113620638337974
"979",0.00546912919675032
"980",0.0087092794541167
"981",0.499999999997727
"982",0.499999943136996
